t,obs.shoulder_pan.pos,obs.shoulder_lift.pos,obs.elbow_flex.pos,obs.wrist_flex.pos,obs.wrist_roll.pos,obs.gripper.pos,cmd.shoulder_pan.pos,cmd.shoulder_lift.pos,cmd.elbow_flex.pos,cmd.wrist_flex.pos,cmd.wrist_roll.pos,cmd.gripper.pos,act.ee.x,act.ee.y,act.ee.z,act.ee.wx,act.ee.wy,act.ee.wz,act.ee.gripper_pos
0.0067,-4.484,-105.978,96.0,-102.022,-162.418,2.656,-8.279,-74.836,96.83,-95.0,-157.211,2.537,0.0284,-0.0009,0.2899,-0.5441,-0.0417,2.8845,2.5369
0.0352,-4.484,-105.89,96.0,-102.022,-162.418,2.656,-10.128,-75.273,96.83,-95.0,-157.211,1.448,0.0249,0.0021,0.2832,-0.5596,-0.0253,2.9258,1.4483
0.0685,-5.187,-105.451,96.176,-101.495,-161.89,2.656,-9.272,-74.744,96.83,-95.0,-157.211,2.186,0.0234,-0.0036,0.2819,-0.4961,-0.0274,2.9071,2.1859
0.102,-7.297,-103.516,96.352,-99.736,-160.132,2.191,-6.566,-74.576,96.83,-95.0,-157.211,2.342,0.0282,0.0039,0.2815,-0.5406,-0.0349,2.8697,2.3424
0.1457,-8.879,-99.473,96.44,-98.066,-159.077,1.992,-5.789,-73.804,96.83,-95.0,-157.211,1.128,0.0282,0.0063,0.2867,-0.5448,-0.0537,2.8802,1.128
0.169,-8.352,-93.582,96.44,-97.187,-158.462,2.058,-0.249,-73.618,96.83,-95.0,-157.211,2.285,0.0281,-0.0018,0.2815,-0.5074,-0.1156,2.828,2.2846
0.2022,-7.033,-87.429,96.44,-96.484,-158.286,1.859,-2.41,-70.315,94.37,-95.0,-157.211,1.35,0.033,-0.0011,0.2807,-0.4496,-0.089,2.8989,1.3501
0.2456,-5.275,-82.505,96.44,-96.044,-158.022,1.594,0.214,-63.466,86.404,-95.0,-157.211,0.209,0.0381,0.002,0.2896,-0.4522,-0.1015,2.8126,0.2085
0.2692,-2.901,-78.198,96.0,-95.516,-157.758,1.594,1.58,-62.526,85.506,-95.0,-157.085,1.5,0.033,0.0033,0.2865,-0.4358,-0.0998,2.7413,1.5003
0.3025,-1.495,-73.626,94.681,-95.429,-157.582,0.996,-0.19,-60.333,83.679,-95.0,-153.85,-0.016,0.0393,0.0053,0.2869,-0.351,-0.0966,2.7231,-0.0164
0.3465,-0.791,-69.143,91.956,-95.429,-157.582,0.863,3.033,-56.271,78.078,-95.0,-153.595,0.919,0.0439,-0.0028,0.2964,-0.3515,-0.0128,2.6722,0.919
0.3694,0.0,-65.538,89.319,-95.429,-156.879,0.73,1.689,-55.565,79.556,-95.0,-151.296,-0.308,0.0555,0.0015,0.2926,-0.1374,-0.0742,2.6584,-0.3082
0.4027,0.176,-62.198,86.769,-95.429,-155.385,0.664,-1.149,-53.401,75.992,-95.0,-145.084,0.283,0.0567,0.0066,0.2987,-0.1737,-0.0019,2.6045,0.2832
0.4463,0.703,-59.385,84.044,-95.429,-153.714,0.598,1.395,-50.39,72.854,-95.0,-149.068,1.071,0.0772,0.0008,0.3059,-0.0446,-0.0097,2.6311,1.0709
0.4695,0.44,-57.011,81.67,-95.429,-151.78,0.531,-2.566,-50.477,74.202,-95.0,-138.516,1.79,0.0762,0.0114,0.3035,0.0707,0.021,2.5111,1.7902
0.5033,-0.264,-54.549,79.297,-95.429,-149.319,0.797,-1.179,-52.686,79.191,-95.0,-140.739,0.688,0.1009,0.0084,0.2931,0.1847,0.0275,2.5198,0.6884
0.5475,-1.143,-52.879,77.538,-95.429,-147.033,1.129,-1.051,-52.025,78.982,-95.0,-142.662,0.303,0.1035,0.006,0.2942,0.2319,0.1393,2.5561,0.3027
0.5704,-2.022,-52.703,77.451,-95.429,-144.659,0.863,-4.388,-52.512,80.087,-95.0,-134.699,1.561,0.1214,0.0159,0.2919,0.2598,0.1139,2.4667,1.5605
0.6042,-1.582,-52.879,78.505,-95.429,-143.516,0.664,-4.185,-52.94,81.464,-95.0,-134.356,-0.424,0.1305,0.0148,0.2896,0.3077,0.1675,2.4542,-0.4241
0.6478,-1.495,-52.791,79.912,-95.429,-142.725,0.93,-4.905,-52.395,81.636,-95.0,-132.253,0.111,0.126,0.0176,0.2902,0.4,0.1739,2.4137,0.1108
0.6707,-2.725,-52.703,81.055,-95.429,-140.879,0.996,-1.221,-52.317,82.531,-95.0,-133.882,0.748,0.1449,0.0074,0.2898,0.4774,0.2519,2.3707,0.7484
0.7039,-3.78,-52.703,81.582,-95.429,-137.978,0.598,-4.697,-53.379,84.958,-95.0,-131.606,1.061,0.1435,0.0163,0.2838,0.4947,0.2712,2.3854,1.061
0.7372,-3.692,-52.703,82.286,-95.341,-135.516,0.598,-0.008,-55.057,87.01,-94.252,-129.961,0.307,0.1598,0.0061,0.2808,0.5576,0.2393,2.2608,0.3071
0.7808,-2.989,-52.791,83.78,-95.341,-133.934,0.797,-0.608,-59.973,88.468,-89.153,-129.651,-0.215,0.1622,0.0078,0.2797,0.5958,0.2435,2.2562,-0.2151
0.8042,-2.198,-53.758,85.714,-94.901,-132.879,0.531,-1.478,-65.476,91.215,-84.382,-125.434,1.298,0.1675,0.0114,0.2752,0.6324,0.2437,2.1837,1.2983
0.8382,-1.231,-55.516,87.473,-93.582,-131.648,0.332,2.784,-80.99,95.331,-69.196,-129.041,0.316,0.1783,-0.002,0.2724,0.6854,0.3299,2.1724,0.3161
0.8816,-1.143,-58.593,89.319,-90.857,-130.33,0.73,4.01,-94.284,96.83,-53.869,-125.291,0.783,0.184,-0.0039,0.2712,0.7453,0.3408,2.0659,0.7835
0.9048,-0.967,-63.077,91.78,-86.637,-129.099,0.863,3.92,-91.728,96.83,-53.337,-125.953,1.589,0.1931,-0.0034,0.2619,0.8173,0.3558,2.0575,1.5886
0.9381,0.44,-69.231,94.33,-80.132,-127.78,0.797,2.717,-100.0,96.83,-45.051,-121.563,0.608,0.1876,-0.0012,0.2643,0.8598,0.445,1.9853,0.6081
0.9714,1.934,-75.736,95.473,-73.099,-126.725,0.996,2.102,-100.0,94.066,-36.445,-121.242,2.145,0.2069,-0.0002,0.2582,0.8988,0.4656,1.9807,2.1449
1.015,2.374,-82.505,95.912,-65.451,-126.198,0.996,3.385,-84.032,90.876,-47.453,-117.723,4.933,0.2163,-0.0023,0.2543,0.9154,0.4431,1.8849,4.9332
1.0383,2.198,-88.747,95.824,-57.626,-124.527,0.863,2.171,-100.0,89.115,-27.049,-115.604,5.32,0.2155,-0.0001,0.2595,0.9376,0.5237,1.8615,5.3203
1.0723,2.462,-93.495,94.945,-50.33,-122.066,1.926,0.965,-94.358,87.701,-30.3,-109.872,7.572,0.2178,0.0036,0.2576,0.9163,0.5677,1.7817,7.5724
1.1146,2.637,-95.956,93.275,-43.736,-119.429,3.453,0.97,-69.401,86.395,-51.528,-107.735,9.741,0.2328,0.003,0.2463,0.9387,0.6111,1.7341,9.7408
1.1388,1.67,-96.132,91.604,-38.374,-116.615,4.98,1.865,-100.0,89.81,-24.645,-114.627,9.381,0.2145,-0.0001,0.2484,0.9757,0.6096,1.8406,9.3807
1.1728,1.231,-94.462,90.198,-33.89,-113.538,6.839,1.038,-79.421,82.442,-34.314,-105.721,11.423,0.2319,0.0041,0.2494,0.9682,0.6675,1.683,11.4232
1.216,1.407,-91.824,89.758,-30.462,-110.813,8.035,-0.129,-71.068,85.817,-48.137,-108.02,14.431,0.2338,0.0072,0.2424,0.9413,0.6581,1.757,14.4309
1.2396,1.319,-88.659,89.934,-28.44,-109.407,9.031,-1.254,-90.737,83.157,-20.807,-105.849,14.885,0.2299,0.0119,0.244,1.0036,0.7333,1.7028,14.8849
1.2732,0.703,-83.736,89.582,-28.0,-108.176,11.023,-1.656,-53.403,78.385,-52.45,-104.039,16.928,0.2543,0.016,0.2363,1.025,0.7111,1.6442,16.9285
1.3164,-0.088,-78.11,88.176,-28.703,-107.648,12.749,-3.537,-65.345,79.409,-39.414,-105.971,19.312,0.252,0.0202,0.2333,1.0369,0.8026,1.7194,19.3116
1.3395,-0.615,-73.275,86.505,-29.582,-106.33,14.409,-3.343,-85.742,82.341,-19.818,-103.318,20.994,0.2426,0.0223,0.2317,1.0706,0.7953,1.6296,20.9938
1.3729,-1.758,-68.879,84.747,-32.396,-105.802,16.268,-4.737,-60.586,74.335,-32.527,-102.715,22.43,0.2655,0.027,0.2231,1.1143,0.8908,1.6221,22.4299
1.4166,-2.637,-65.89,83.429,-35.121,-105.275,18.26,-5.792,-68.982,77.607,-27.458,-97.936,22.253,0.2585,0.0304,0.2204,1.0497,0.9523,1.5789,22.2526
1.4403,-3.429,-64.044,82.813,-36.44,-104.22,19.92,-7.973,-60.91,80.621,-41.565,-100.704,22.202,0.2581,0.0392,0.2162,1.0271,0.9123,1.6673,22.2023
1.4735,-4.484,-63.604,81.758,-36.264,-103.077,20.717,-7.12,-49.924,72.345,-40.274,-98.356,25.307,0.2745,0.0365,0.2161,1.0562,0.9823,1.601,25.3075
1.5169,-5.363,-63.516,81.582,-35.648,-101.758,21.116,-7.973,-54.435,74.352,-36.951,-97.912,25.702,0.2704,0.0395,0.2126,1.055,1.0092,1.6027,25.7021
